ELEV,LAT,LON
1,   64.38,   5.25
1,   64.12,   5.23
1,   64.27,   5.27
1,   64.09,   5.52
1,   64.51,   5.08
1,   64.57,   5.19
1,   64.28,   4.88
1,   64.28,   4.89
1,   64.21,   4.81
1,   64.35,   5.34
1,   64.35,   5.43
1,   64.79,   5.64
1,   63.55,   5.1
1,   63.51,   5.8
1,   63.63,   5.73
1,   63.56,   5.76
1,   63.4,   5.795
1,   63.75,   5.89
1,   63.67,   6.69
1,   63.73,   6.48
1,   63.9,   6.65
1,   63.73,   5.85
1,   64.44,   7.01
2,   63.57966458270282, 5.2395331598085795
2,   63.57966458270282, 5.668771287636452
2,   63.57966458270282, 6.0976904558351706
2,   63.75932763952672, 5.2395331598085795
2,   63.75932763952672, 5.668771287636452
2,   63.75932763952672, 6.0976904558351706
2,   63.75932763952672, 6.526266883234629
2,   63.93899069635062, 5.2395331598085795
2,   63.93899069635062, 5.668771287636452
2,   63.93899069635062, 6.0976904558351706
2,   63.93899069635062, 6.526266883234629
2,   64.11865375317451, 5.2395331598085795
2,   64.11865375317451, 5.668771287636452
2,   64.11865375317451, 6.0976904558351706
2,   64.11865375317451, 6.526266883234629
2,   64.29831680999843, 5.2395331598085795
2,   64.29831680999843, 5.668771287636452
2,   64.29831680999843, 6.0976904558351706
2,   64.29831680999843, 6.526266883234629
2,   64.47797986682234, 5.2395331598085795
2,   64.47797986682234, 5.668771287636452
2,   64.47797986682234, 6.0976904558351706
2,   64.47797986682234, 6.526266883234629
2,   64.65764292364624, 5.668771287636452
2,   64.65764292364624, 6.0976904558351706
3, 63.93899069635062, 6.0976904558351706
100, 64.38, 5.25
